#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000008345.1	PRJNA224116	SAMN02603281		representative genome	267747	1747	Cutibacterium acnes KPA171202	strain=KPA171202		latest	Complete Genome	Major	Full	2004/07/30	ASM834v1	Goettingen Genomics Laboratory	GCA_000008345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1		
GCF_000025765.1	PRJNA224116	SAMN00000718		na	553199	1747	Cutibacterium acnes SK137	strain=SK137		latest	Complete Genome	Major	Full	2010/03/23	ASM2576v1	J. Craig Venter Institute	GCA_000025765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/765/GCF_000025765.1_ASM2576v1		
GCF_000144005.1	PRJNA224116	SAMN00189190	ADZV00000000.1	na	765105	1747	Cutibacterium acnes HL001PA1	strain=HL001PA1		latest	Scaffold	Major	Full	2010/07/29	ASM14400v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/005/GCF_000144005.1_ASM14400v1		
GCF_000144025.1	PRJNA224116	SAMN00189191	ADXW00000000.1	na	765115	1747	Cutibacterium acnes HL002PA1	strain=HL002PA1		latest	Scaffold	Major	Full	2010/07/30	ASM14402v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/025/GCF_000144025.1_ASM14402v1		
GCF_000144045.1	PRJNA224116	SAMN00189233	ADZT00000000.1	na	765110	1747	Cutibacterium acnes HL067PA1	strain=HL067PA1		latest	Scaffold	Major	Full	2010/07/30	ASM14404v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/045/GCF_000144045.1_ASM14404v1		
GCF_000144065.1	PRJNA224116	SAMN00189197	ADZW00000000.1	na	765099	1747	Cutibacterium acnes HL005PA4	strain=HL005PA4		latest	Scaffold	Major	Full	2010/07/30	ASM14406v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/065/GCF_000144065.1_ASM14406v1		
GCF_000144105.1	PRJNA224116	SAMN00189239	ADZR00000000.1	na	765121	1747	Cutibacterium acnes HL082PA2	strain=HL082PA2		latest	Scaffold	Major	Full	2010/07/30	ASM14410v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/105/GCF_000144105.1_ASM14410v1		
GCF_000144125.1	PRJNA224116	SAMN00189192	ADZS00000000.1	na	765116	1747	Cutibacterium acnes HL002PA2	strain=HL002PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14412v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/125/GCF_000144125.1_ASM14412v1		
GCF_000144145.1	PRJNA224116	SAMN00189203	ADZO00000000.1	na	765090	1747	Cutibacterium acnes HL025PA2	strain=HL025PA2		latest	Scaffold	Major	Full	2010/07/30	ASM14414v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/145/GCF_000144145.1_ASM14414v1		
GCF_000144165.1	PRJNA224116	SAMN00189226	ADZB00000000.1	na	765067	1747	Cutibacterium acnes HL053PA2	strain=HL053PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14416v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/165/GCF_000144165.1_ASM14416v1		
GCF_000144185.1	PRJNA224116	SAMN00189224	ADZD00000000.1	na	765066	1747	Cutibacterium acnes HL053PA1	strain=HL053PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14418v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/185/GCF_000144185.1_ASM14418v1		
GCF_000144205.1	PRJNA224116	SAMN00189247	ADZE00000000.1	na	765077	1747	Cutibacterium acnes HL110PA1	strain=HL110PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14420v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/205/GCF_000144205.1_ASM14420v1		
GCF_000144225.1	PRJNA224116	SAMN00189240	ADZC00000000.1	na	765087	1747	Cutibacterium acnes HL083PA1	strain=HL083PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14422v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/225/GCF_000144225.1_ASM14422v1		
GCF_000144245.1	PRJNA224116	SAMN00189234	ADZF00000000.1	na	765074	1747	Cutibacterium acnes HL072PA1	strain=HL072PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14424v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/245/GCF_000144245.1_ASM14424v1		
GCF_000144265.1	PRJNA224116	SAMN00189222	ADZL00000000.1	na	765100	1747	Cutibacterium acnes HL050PA1	strain=HL050PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14426v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/265/GCF_000144265.1_ASM14426v1		
GCF_000144285.1	PRJNA224116	SAMN00189220	ADZQ00000000.1	na	765094	1747	Cutibacterium acnes HL046PA1	strain=HL046PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14428v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/285/GCF_000144285.1_ASM14428v1		
GCF_000144305.1	PRJNA224116	SAMN00189194	ADZP00000000.1	na	765096	1747	Cutibacterium acnes HL005PA1	strain=HL005PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14430v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/305/GCF_000144305.1_ASM14430v1		
GCF_000144325.1	PRJNA224116	SAMN00189225	ADZK00000000.1	na	765102	1747	Cutibacterium acnes HL050PA3	strain=HL050PA3		latest	Scaffold	Major	Full	2010/08/04	ASM14432v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/325/GCF_000144325.1_ASM14432v1		
GCF_000144345.1	PRJNA224116	SAMN00189196	ADZM00000000.1	na	765098	1747	Cutibacterium acnes HL005PA3	strain=HL005PA3		latest	Scaffold	Major	Full	2010/08/04	ASM14434v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/345/GCF_000144345.1_ASM14434v1		
GCF_000144365.1	PRJNA224116	SAMN00189219	ADZA00000000.1	na	765068	1747	Cutibacterium acnes HL045PA1	strain=HL045PA1		latest	Scaffold	Major	Full	2010/08/04	ASM14436v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/365/GCF_000144365.1_ASM14436v1		
GCF_000144385.1	PRJNA224116	SAMN00189195	ADZN00000000.1	na	765097	1747	Cutibacterium acnes HL005PA2	strain=HL005PA2		latest	Scaffold	Major	Full	2010/08/04	ASM14438v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/385/GCF_000144385.1_ASM14438v1		
GCF_000144425.1	PRJNA224116	SAMN00189242	ADYP00000000.1	na	765093	1747	Cutibacterium acnes HL086PA1	strain=HL086PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14442v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/425/GCF_000144425.1_ASM14442v1		
GCF_000144445.1	PRJNA224116	SAMN00189214	ADYD00000000.1	na	765085	1747	Cutibacterium acnes HL038PA1	strain=HL038PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14444v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/445/GCF_000144445.1_ASM14444v1		
GCF_000144465.1	PRJNA224116	SAMN00189223	ADYC00000000.1	na	765101	1747	Cutibacterium acnes HL050PA2	strain=HL050PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14446v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/465/GCF_000144465.1_ASM14446v1		
GCF_000144485.1	PRJNA224116	SAMN00189245	ADYA00000000.1	na	765083	1747	Cutibacterium acnes HL087PA3	strain=HL087PA3		latest	Scaffold	Major	Full	2010/08/05	ASM14448v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/485/GCF_000144485.1_ASM14448v1		
GCF_000144505.1	PRJNA224116	SAMN00189201	ADYO00000000.1	na	765065	1747	Cutibacterium acnes HL020PA1	strain=HL020PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14450v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/505/GCF_000144505.1_ASM14450v1		
GCF_000144525.1	PRJNA224116	SAMN00189200	ADYN00000000.1	na	765070	1747	Cutibacterium acnes HL013PA2	strain=HL013PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14452v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/525/GCF_000144525.1_ASM14452v1		
GCF_000144545.1	PRJNA224116	SAMN00189231	ADYK00000000.1	na	765113	1747	Cutibacterium acnes HL063PA1	strain=HL063PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14454v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/545/GCF_000144545.1_ASM14454v1		
GCF_000144565.1	PRJNA224116	SAMN00189208	ADYL00000000.1	na	765106	1747	Cutibacterium acnes HL036PA1	strain=HL036PA1		latest	Scaffold	Major	Full	2010/08/05	ASM14456v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/565/GCF_000144565.1_ASM14456v1		
GCF_000144585.1	PRJNA224116	SAMN00189209	ADYU00000000.1	na	765107	1747	Cutibacterium acnes HL036PA2	strain=HL036PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14458v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/585/GCF_000144585.1_ASM14458v1		
GCF_000144715.1	PRJNA224116	SAMN00189205	ADYT00000000.1	na	765112	1747	Cutibacterium acnes HL027PA2	strain=HL027PA2		latest	Scaffold	Major	Full	2010/08/10	ASM14471v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/715/GCF_000144715.1_ASM14471v1		
GCF_000144735.1	PRJNA224116	SAMN00189232	ADYS00000000.1	na	765114	1747	Cutibacterium acnes HL063PA2	strain=HL063PA2		latest	Scaffold	Major	Full	2010/08/10	ASM14473v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/735/GCF_000144735.1_ASM14473v1		
GCF_000144755.1	PRJNA224116	SAMN00189216	ADYM00000000.1	na	765073	1747	Cutibacterium acnes HL043PA2	strain=HL043PA2		latest	Scaffold	Major	Full	2010/08/05	ASM14475v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/755/GCF_000144755.1_ASM14475v1		
GCF_000144775.1	PRJNA224116	SAMN00189193	ADYR00000000.1	na	765117	1747	Cutibacterium acnes HL002PA3	strain=HL002PA3		latest	Scaffold	Major	Full	2010/08/10	ASM14477v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/775/GCF_000144775.1_ASM14477v1		
GCF_000144795.1	PRJNA224116	SAMN00189202	ADYQ00000000.1	na	765089	1747	Cutibacterium acnes HL025PA1	strain=HL025PA1		latest	Scaffold	Major	Full	2010/08/10	ASM14479v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/795/GCF_000144795.1_ASM14479v1		
GCF_000144815.1	PRJNA224116	SAMN00189248	ADYY00000000.1	na	765078	1747	Cutibacterium acnes HL110PA2	strain=HL110PA2		latest	Scaffold	Major	Full	2010/08/06	ASM14481v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/815/GCF_000144815.1_ASM14481v1		
GCF_000144835.1	PRJNA224116	SAMN00189236	ADYZ00000000.1	na	765076	1747	Cutibacterium acnes HL074PA1	strain=HL074PA1		latest	Scaffold	Major	Full	2010/08/06	ASM14483v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/835/GCF_000144835.1_ASM14483v1		
GCF_000144855.1	PRJNA224116	SAMN00189228	ADYW00000000.1	na	765091	1747	Cutibacterium acnes HL059PA1	strain=HL059PA1		latest	Scaffold	Major	Full	2010/08/10	ASM14485v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/855/GCF_000144855.1_ASM14485v1		
GCF_000144875.1	PRJNA224116	SAMN00189221	ADYV00000000.1	na	765095	1747	Cutibacterium acnes HL046PA2	strain=HL046PA2		latest	Scaffold	Major	Full	2010/08/10	ASM14487v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/875/GCF_000144875.1_ASM14487v1		
GCF_000144895.1	PRJNA224116	SAMN00189250	ADYF00000000.1	na	765080	1747	Cutibacterium acnes HL110PA4	strain=HL110PA4		latest	Scaffold	Major	Full	2010/08/10	ASM14489v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000144895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/895/GCF_000144895.1_ASM14489v1		
GCF_000145055.1	PRJNA224116	SAMN00189249	ADYG00000000.1	na	765079	1747	Cutibacterium acnes HL110PA3	strain=HL110PA3		latest	Scaffold	Major	Full	2010/08/10	ASM14505v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000145055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/055/GCF_000145055.1_ASM14505v1		
GCF_000145095.1	PRJNA224116	SAMN00189227	ADYI00000000.1	na	765119	1747	Cutibacterium acnes HL056PA1	strain=HL056PA1		latest	Scaffold	Major	Full	2010/08/10	ASM14509v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000145095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/095/GCF_000145095.1_ASM14509v1		
GCF_000145115.1	PRJNA224116	SAMN00189206	ADYB00000000.1	na	765103	1747	Cutibacterium acnes HL030PA1	strain=HL030PA1		latest	Scaffold	Major	Full	2010/08/10	ASM14511v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000145115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/115/GCF_000145115.1_ASM14511v1		
