#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000023205.1	PRJNA224116	SAMN00000281		representative genome	465515	1270	Micrococcus luteus NCTC 2665	strain=NCTC 2665 (Fleming 2665)		latest	Complete Genome	Major	Full	2009/06/12	ASM2320v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/205/GCF_000023205.1_ASM2320v1		assembly from type material
GCF_000176875.1	PRJNA224116	SAMN00008343	ADCD00000000.1	na	596312	1270	Micrococcus luteus SK58	strain=SK58		latest	Contig	Major	Full	2010/02/24	ASM17687v1	J. Craig Venter Institute	GCA_000176875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/875/GCF_000176875.1_ASM17687v1		
GCF_000180435.1	PRJNA224116	SAMEA2272752	CABC00000000.1	na	465515	1270	Micrococcus luteus NCTC 2665	strain=type strain: DSM 20030 = NCTC 2665		latest	Contig	Major	Full	2009/06/17	ASM18043v1	IG/CEA	GCA_000180435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/435/GCF_000180435.1_ASM18043v1		
GCF_000632005.1	PRJNA224116	SAMN02676624	JFYP00000000.1	na	1270	1270	Micrococcus luteus	strain=RIT304		latest	Contig	Major	Full	2014/04/14	Willow Endophyte RIT304	Monash University Malaysia	GCA_000632005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/005/GCF_000632005.1_Willow_Endophyte_RIT304		
GCF_000632145.1	PRJNA224116	SAMN02676629	JFYU00000000.1	na	1270	1270	Micrococcus luteus	strain=RIT324w		latest	Contig	Major	Full	2014/04/14	Willow Endophyte RIT324w	Monash University Malaysia	GCA_000632145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/145/GCF_000632145.1_Willow_Endophyte_RIT324w		
GCF_000632185.1	PRJNA224116	SAMN02676625	JFYQ00000000.1	na	1270	1270	Micrococcus luteus	strain=RIT305		latest	Contig	Major	Full	2014/04/14	Willow Endophyte RIT305	Monash University Malaysia	GCA_000632185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/185/GCF_000632185.1_Willow_Endophyte_RIT305		
GCF_000828165.1	PRJNA224116	SAMN03151542	JTKE00000000.1	na	1270	1270	Micrococcus luteus	strain=2385		latest	Contig	Major	Full	2015/01/26	ASM82816v1	Florida A&M University	GCA_000828165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/165/GCF_000828165.1_ASM82816v1		
GCF_000877795.1	PRJNA224116	SAMN02666701		na	1270	1270	Micrococcus luteus	strain=trpE16		latest	Chromosome	Major	Full	2015/02/19	ASM87779v1	Technical University Munich	GCA_000877795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/795/GCF_000877795.1_ASM87779v1		
GCF_001061825.1	PRJNA224116	SAMN03197022	JWEM00000000.1	na	1270	1270	Micrococcus luteus	strain=1058_MLUT		latest	Scaffold	Major	Full	2015/07/10	ASM106182v1	University of Washington	GCA_001061825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/061/825/GCF_001061825.1_ASM106182v1		
GCF_001066245.1	PRJNA224116	SAMN03197983	JUTN00000000.1	na	1270	1270	Micrococcus luteus	strain=773_MLUT		latest	Contig	Major	Full	2015/07/10	ASM106624v1	University of Washington	GCA_001066245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/066/245/GCF_001066245.1_ASM106624v1		
