#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000174135.1	PRJNA224116	SAMN00000713	ACFR00000000.1	na	553212	29388	Staphylococcus capitis SK14	strain=SK14		latest	Contig	Major	Full	2009/02/03	ASM17413v1	J. Craig Venter Institute	GCA_000174135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/135/GCF_000174135.1_ASM17413v1		
GCF_000183705.1	PRJNA224116	SAMN02463752	ACRH00000000.1	na	435838	29388	Staphylococcus capitis C87	strain=C87		latest	Scaffold	Major	Full	2010/12/06	ASM18370v1	Broad Institute	GCA_000183705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/705/GCF_000183705.1_ASM18370v1		
GCF_000221525.1	PRJNA224116	SAMN00116853	AFTX00000000.1	na	904334	29388	Staphylococcus capitis VCU116	strain=VCU116		latest	Contig	Major	Full	2011/07/25	ASM22152v2	J. Craig Venter Institute	GCA_000221525.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/525/GCF_000221525.1_ASM22152v2		
GCF_000263775.1	PRJNA224116	SAMN02471139	AJTH00000000.1	na	1189311	29388	Staphylococcus capitis QN1	strain=QN1		latest	Contig	Major	Full	2012/05/22	StacapQN11.0	Zhejiang University	GCA_000263775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/775/GCF_000263775.1_StacapQN11.0		
GCF_000499705.1	PRJNA224116	SAMEA3138827	CBUB000000000.1	na	1296619	29388	Staphylococcus capitis CR01	strain=CR01		latest	Scaffold	Major	Full	2013/11/05	ScapHOJ_3778_PRJEB1494	HOSPICES CIVILS DE LYON	GCA_000499705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/705/GCF_000499705.1_ScapHOJ_3778_PRJEB1494		
GCF_000712995.1	PRJNA224116	SAMN02680303	JGYJ00000000.1	na	29388	29388	Staphylococcus capitis	strain=LNZR-1		latest	Contig	Major	Full	2014/06/27	StaCap1.0	The Fourth Affiliated Hospital of Harbin Medical University	GCA_000712995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/995/GCF_000712995.1_StaCap1.0		
GCF_001028645.1	PRJNA224116	SAMN02739579		representative genome	72758	29388	Staphylococcus capitis subsp. capitis	strain=AYP1020		latest	Complete Genome	Major	Full	2015/06/12	ASM102864v1	Department of Microbiology, Monash University	GCA_001028645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/645/GCF_001028645.1_ASM102864v1		
GCF_001060815.1	PRJNA224116	SAMN03197261	JVVH00000000.1	na	29388	29388	Staphylococcus capitis	strain=129_SAUR		latest	Scaffold	Major	Full	2015/07/10	ASM106081v1	University of Washington	GCA_001060815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/060/815/GCF_001060815.1_ASM106081v1		
GCF_001062085.1	PRJNA224116	SAMN03197113	JWAZ00000000.1	na	29388	29388	Staphylococcus capitis	strain=1157_SAUR		latest	Contig	Major	Full	2015/07/10	ASM106208v1	University of Washington	GCA_001062085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/062/085/GCF_001062085.1_ASM106208v1		
GCF_001063695.1	PRJNA224116	SAMN03197757	JVCF00000000.1	na	29388	29388	Staphylococcus capitis	strain=558_SAUR		latest	Contig	Major	Full	2015/07/10	ASM106369v1	University of Washington	GCA_001063695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/063/695/GCF_001063695.1_ASM106369v1		
GCF_001064095.1	PRJNA224116	SAMN03197435	JVOP00000000.1	na	29388	29388	Staphylococcus capitis	strain=245_SAUR		latest	Scaffold	Major	Full	2015/07/10	ASM106409v1	University of Washington	GCA_001064095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/064/095/GCF_001064095.1_ASM106409v1		
GCF_001065245.1	PRJNA224116	SAMN03197698	JVEM00000000.1	na	29388	29388	Staphylococcus capitis	strain=505_SAUR		latest	Scaffold	Major	Full	2015/07/10	ASM106524v1	University of Washington	GCA_001065245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/065/245/GCF_001065245.1_ASM106524v1		
GCF_001065645.1	PRJNA224116	SAMN03197805	JVAJ00000000.1	na	29388	29388	Staphylococcus capitis	strain=605_SAUR		latest	Scaffold	Major	Full	2015/07/10	ASM106564v1	University of Washington	GCA_001065645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/065/645/GCF_001065645.1_ASM106564v1		
GCF_001066795.1	PRJNA224116	SAMN03197868	JUXY00000000.1	na	29388	29388	Staphylococcus capitis	strain=664.rep2_SAUR		latest	Scaffold	Major	Full	2015/07/10	ASM106679v1	University of Washington	GCA_001066795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/066/795/GCF_001066795.1_ASM106679v1		
GCF_001069155.1	PRJNA224116	SAMN03197005	JWFD00000000.1	na	29388	29388	Staphylococcus capitis	strain=104_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM106915v1	University of Washington	GCA_001069155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/155/GCF_001069155.1_ASM106915v1		
GCF_001069195.1	PRJNA224116	SAMN03197053	JWDH00000000.1	na	29388	29388	Staphylococcus capitis	strain=1090_SEPI		latest	Contig	Major	Full	2015/07/10	ASM106919v1	University of Washington	GCA_001069195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/195/GCF_001069195.1_ASM106919v1		
GCF_001069765.1	PRJNA224116	SAMN03197323	JVSX00000000.1	na	29388	29388	Staphylococcus capitis	strain=1341_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM106976v1	University of Washington	GCA_001069765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/765/GCF_001069765.1_ASM106976v1		
GCF_001070105.1	PRJNA224116	SAMN03197031	JWED00000000.1	na	29388	29388	Staphylococcus capitis	strain=1069_SEPI		latest	Contig	Major	Full	2015/07/10	ASM107010v1	University of Washington	GCA_001070105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/105/GCF_001070105.1_ASM107010v1		
GCF_001071095.1	PRJNA224116	SAMN03197633	JVGZ00000000.1	na	29388	29388	Staphylococcus capitis	strain=441_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM107109v1	University of Washington	GCA_001071095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/095/GCF_001071095.1_ASM107109v1		
GCF_001073365.1	PRJNA224116	SAMN03197762	JVCA00000000.1	na	29388	29388	Staphylococcus capitis	strain=562_SWAR		latest	Scaffold	Major	Full	2015/07/10	ASM107336v1	University of Washington	GCA_001073365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/365/GCF_001073365.1_ASM107336v1		
GCF_001073565.1	PRJNA224116	SAMN03197819	JUZV00000000.1	na	29388	29388	Staphylococcus capitis	strain=619_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM107356v1	University of Washington	GCA_001073565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/565/GCF_001073565.1_ASM107356v1		
GCF_001073605.1	PRJNA224116	SAMN03197822	JUZS00000000.1	na	29388	29388	Staphylococcus capitis	strain=622_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107360v1	University of Washington	GCA_001073605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/605/GCF_001073605.1_ASM107360v1		
GCF_001073715.1	PRJNA224116	SAMN03197846	JUYU00000000.1	na	29388	29388	Staphylococcus capitis	strain=645_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM107371v1	University of Washington	GCA_001073715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/715/GCF_001073715.1_ASM107371v1		
GCF_001073835.1	PRJNA224116	SAMN03197860	JUYG00000000.1	na	29388	29388	Staphylococcus capitis	strain=658_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM107383v1	University of Washington	GCA_001073835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/835/GCF_001073835.1_ASM107383v1		
GCF_001073915.1	PRJNA224116	SAMN03197883	JUXJ00000000.1	na	29388	29388	Staphylococcus capitis	strain=680_SEPI		latest	Contig	Major	Full	2015/07/10	ASM107391v1	University of Washington	GCA_001073915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/915/GCF_001073915.1_ASM107391v1		
GCF_001074775.1	PRJNA224116	SAMN03198086	JUPO00000000.1	na	29388	29388	Staphylococcus capitis	strain=880_SEPI		latest	Contig	Major	Full	2015/07/10	ASM107477v1	University of Washington	GCA_001074775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/775/GCF_001074775.1_ASM107477v1		
GCF_001074935.1	PRJNA224116	SAMN03197927	JUVR00000000.1	na	29388	29388	Staphylococcus capitis	strain=722_SEPI		latest	Contig	Major	Full	2015/07/10	ASM107493v1	University of Washington	GCA_001074935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/935/GCF_001074935.1_ASM107493v1		
GCF_001179785.1	PRJNA224116	SAMEA3358846	CVUF00000000.1	na	29388	29388	Staphylococcus capitis	strain=CR03		latest	Contig	Major	Full	2015/07/07	CR03	Department of Biosecurity PCL3	GCA_001179785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/179/785/GCF_001179785.1_CR03		
GCF_001201015.1	PRJNA224116	SAMEA3271079	CTEM00000000.1	na	29388	29388	Staphylococcus capitis	strain=CR04		latest	Contig	Major	Full	2015/08/03	CR04	Department of Biosecurity PCL3	GCA_001201015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/201/015/GCF_001201015.1_CR04		
GCF_001215085.1	PRJNA224116	SAMEA3271078	CTEB00000000.1	na	29388	29388	Staphylococcus capitis	strain=CR03		latest	Scaffold	Major	Full	2015/08/03	CR03	Department of Biosecurity PCL3	GCA_001215085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/215/085/GCF_001215085.1_CR03		
GCF_001220005.1	PRJNA224116	SAMEA3271080	CTEO00000000.1	na	29388	29388	Staphylococcus capitis	strain=CR05		latest	Contig	Major	Full	2015/08/03	CR05	Department of Biosecurity PCL3	GCA_001220005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/220/005/GCF_001220005.1_CR05		
GCF_001220605.1	PRJNA224116	SAMEA3271081	CTEL00000000.1	na	29388	29388	Staphylococcus capitis	strain=CR09		latest	Contig	Major	Full	2015/08/03	CR09	Department of Biosecurity PCL3	GCA_001220605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/220/605/GCF_001220605.1_CR09		
GCF_001471555.2	PRJNA224116	SAMN03996314	LORZ00000000.2	na	29388	29388	Staphylococcus capitis	strain=FDAARGOS_173		latest	Contig	Major	Full	2018/01/19	ASM147155v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001471555.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/471/555/GCF_001471555.2_ASM147155v2		
GCF_001650395.1	PRJNA224116	SAMN04621680	LWCP00000000.1	na	29388	29388	Staphylococcus capitis	strain=H65		latest	Contig	Major	Full	2016/05/24	ASM165039v1	UC Berkeley	GCA_001650395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/395/GCF_001650395.1_ASM165039v1		
GCF_001650475.1	PRJNA224116	SAMN04621681	LWCQ00000000.1	na	29388	29388	Staphylococcus capitis	strain=H36		latest	Contig	Major	Full	2016/05/24	ASM165047v1	UC Berkeley	GCA_001650475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/475/GCF_001650475.1_ASM165047v1		
GCF_001651285.1	PRJNA224116	SAMN04479465	LSKZ00000000.1	na	29388	29388	Staphylococcus capitis	strain=MF1871		latest	Contig	Major	Full	2016/05/25	ASM165128v1	Nofima	GCA_001651285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/285/GCF_001651285.1_ASM165128v1		
GCF_001651335.1	PRJNA224116	SAMN04479466	LSLA00000000.1	na	29388	29388	Staphylococcus capitis	strain=MF1872		latest	Contig	Major	Full	2016/05/25	ASM165133v1	Nofima	GCA_001651335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/335/GCF_001651335.1_ASM165133v1		
GCF_002276515.1	PRJNA224116	SAMN06718504	NDFI00000000.1	na	29388	29388	Staphylococcus capitis	strain=KR		latest	Contig	Major	Full	2017/08/29	ASM227651v1	SysMilk	GCA_002276515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/276/515/GCF_002276515.1_ASM227651v1		
GCF_002276735.1	PRJNA224116	SAMN06718483	NDFK00000000.1	na	29388	29388	Staphylococcus capitis	strain=OG2-1		latest	Contig	Major	Full	2017/08/29	ASM227673v1	SysMilk	GCA_002276735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/276/735/GCF_002276735.1_ASM227673v1		
GCF_002356175.1	PRJNA224116	SAMD00041516		na	29388	29388	Staphylococcus capitis	strain=TW2795		latest	Complete Genome	Major	Full	2017/02/01	ASM235617v1	Department of Bacteriology, Jichi medical University	GCA_002356175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/175/GCF_002356175.1_ASM235617v1		
GCF_002591175.1	PRJNA224116	SAMN07312422		na	29388	29388	Staphylococcus capitis	strain=FDAARGOS_378		latest	Complete Genome	Major	Full	2017/10/18	ASM259117v1	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002591175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/175/GCF_002591175.1_ASM259117v1		
GCF_002901925.1	PRJNA224116	SAMN05978025	PPQI00000000.1	na	74703	29388	Staphylococcus capitis subsp. urealyticus	strain=DSM 6717		latest	Scaffold	Major	Full	2018/01/27	ASM290192v1	Modernising Medical Microbiology	GCA_002901925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/901/925/GCF_002901925.1_ASM290192v1		assembly from type material
GCF_002902325.1	PRJNA224116	SAMN06177166	PPPY00000000.1	na	72758	29388	Staphylococcus capitis subsp. capitis	strain=NCTC 11045		latest	Scaffold	Major	Full	2018/01/27	ASM290232v1	Modernising Medical Microbiology	GCA_002902325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/325/GCF_002902325.1_ASM290232v1		assembly from type material
GCF_003039855.1	PRJNA224116	SAMN06172863	PZCT00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 6079		latest	Contig	Major	Full	2018/04/05	ASM303985v1	University of Calgary	GCA_003039855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/855/GCF_003039855.1_ASM303985v1		
GCF_003039875.1	PRJNA224116	SAMN06172861	PZCU00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 5871		latest	Contig	Major	Full	2018/04/05	ASM303987v1	University of Calgary	GCA_003039875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/875/GCF_003039875.1_ASM303987v1		
GCF_003039895.1	PRJNA224116	SAMN06172857	PZCX00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 4231		latest	Contig	Major	Full	2018/04/05	ASM303989v1	University of Calgary	GCA_003039895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/039/895/GCF_003039895.1_ASM303989v1		
GCF_003040535.1	PRJNA224116	SAMN06172859	PZCV00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 4705		latest	Contig	Major	Full	2018/04/05	ASM304053v1	University of Calgary	GCA_003040535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/535/GCF_003040535.1_ASM304053v1		
GCF_003040555.1	PRJNA224116	SAMN06172858	PZCW00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 4275		latest	Contig	Major	Full	2018/04/05	ASM304055v1	University of Calgary	GCA_003040555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/555/GCF_003040555.1_ASM304055v1		
GCF_003040575.1	PRJNA224116	SAMN06172855	PZCY00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 3769		latest	Contig	Major	Full	2018/04/05	ASM304057v1	University of Calgary	GCA_003040575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/575/GCF_003040575.1_ASM304057v1		
GCF_003040595.1	PRJNA224116	SAMN06172854	PZCZ00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 3379		latest	Contig	Major	Full	2018/04/05	ASM304059v1	University of Calgary	GCA_003040595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/595/GCF_003040595.1_ASM304059v1		
GCF_003040615.1	PRJNA224116	SAMN06172851	PZDB00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 2784		latest	Contig	Major	Full	2018/04/05	ASM304061v1	University of Calgary	GCA_003040615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/615/GCF_003040615.1_ASM304061v1		
GCF_003040635.1	PRJNA224116	SAMN06172848	PZDD00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 2159		latest	Contig	Major	Full	2018/04/05	ASM304063v1	University of Calgary	GCA_003040635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/635/GCF_003040635.1_ASM304063v1		
GCF_003040655.1	PRJNA224116	SAMN06172845	PZDE00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 1187		latest	Contig	Major	Full	2018/04/05	ASM304065v1	University of Calgary	GCA_003040655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/655/GCF_003040655.1_ASM304065v1		
GCF_003040675.1	PRJNA224116	SAMN06172844	PZDF00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 895		latest	Contig	Major	Full	2018/04/05	ASM304067v1	University of Calgary	GCA_003040675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/040/675/GCF_003040675.1_ASM304067v1		
GCF_003041035.1	PRJNA224116	SAMN06172849	PZDC00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 2477		latest	Contig	Major	Full	2018/04/05	ASM304103v1	University of Calgary	GCA_003041035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/035/GCF_003041035.1_ASM304103v1		
GCF_003041055.1	PRJNA224116	SAMN06172852	PZDA00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 2974		latest	Contig	Major	Full	2018/04/05	ASM304105v1	University of Calgary	GCA_003041055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/055/GCF_003041055.1_ASM304105v1		
GCF_003041075.1	PRJNA224116	SAMN06172842	PZDG00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 791		latest	Contig	Major	Full	2018/04/05	ASM304107v1	University of Calgary	GCA_003041075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/041/075/GCF_003041075.1_ASM304107v1		
GCF_003578355.1	PRJNA224116	SAMN06172862	QXRL00000000.1	na	29388	29388	Staphylococcus capitis	strain=SNUC 5893		latest	Contig	Major	Full	2018/09/20	ASM357835v1	University of Calgary	GCA_003578355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/355/GCF_003578355.1_ASM357835v1		
