#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000007645.1	PRJNA224116	SAMN02603126		na	176280	1282	Staphylococcus epidermidis ATCC 12228	strain=ATCC 12228		latest	Complete Genome	Major	Full	2002/12/20	ASM764v1	Chinese National HGC, Shanghai	GCA_000007645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1		
GCF_000011925.1	PRJNA224116	SAMN02603975		na	176279	1282	Staphylococcus epidermidis RP62A	strain=RP62A		latest	Complete Genome	Major	Full	2005/01/13	ASM1192v1	TIGR	GCA_000011925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/925/GCF_000011925.1_ASM1192v1		
GCF_000159575.1	PRJNA224116	SAMN00001492	ACHE00000000.1	na	525374	1282	Staphylococcus epidermidis BCM-HMP0060	strain=BCM-HMP0060		latest	Scaffold	Major	Full	2009/07/17	ASM15957v1	Baylor College of Medicine	GCA_000159575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/575/GCF_000159575.1_ASM15957v1		
GCF_000160235.1	PRJNA224116	SAMN00002221	ACJC00000000.1	na	525376	1282	Staphylococcus epidermidis W23144	strain=W23144		latest	Scaffold	Major	Full	2009/07/17	ASM16023v1	Baylor College of Medicine	GCA_000160235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/235/GCF_000160235.1_ASM16023v1		
GCF_000164075.1	PRJNA224116	SAMN02299424	ADMU00000000.1	na	525375	1282	Staphylococcus epidermidis M23864:W2(grey)	strain=M23864:W2(grey)		latest	Scaffold	Major	Full	2010/03/23	ASM16407v1	Baylor College of Medicine	GCA_000164075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/075/GCF_000164075.1_ASM16407v1		
GCF_000177115.1	PRJNA224116	SAMN00008358	ADEY00000000.1	na	596317	1282	Staphylococcus epidermidis SK135	strain=SK135		latest	Contig	Major	Full	2009/12/15	ASM17711v1	J. Craig Venter Institute	GCA_000177115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/115/GCF_000177115.1_ASM17711v1		
GCF_000186205.1	PRJNA224116	SAMN00138731	AENR00000000.1	na	764544	1282	Staphylococcus epidermidis FRI909	strain=FRI909		latest	Contig	Major	Full	2011/01/15	ASM18620v2	University at Buffalo/Center of Excellence/Infectious Disease and Genomics	GCA_000186205.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/205/GCF_000186205.1_ASM18620v2		
GCF_000205325.1	PRJNA224116	SAMN00117468	AFED00000000.1	na	904347	1282	Staphylococcus epidermidis VCU144	strain=VCU144		latest	Contig	Major	Full	2011/04/20	ASM20532v2	J. Craig Venter Institute	GCA_000205325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/325/GCF_000205325.1_ASM20532v2		
GCF_000205405.1	PRJNA224116	SAMN00116866	AFEH00000000.1	na	904317	1282	Staphylococcus epidermidis VCU028	strain=VCU028		latest	Contig	Major	Full	2011/04/20	ASM20540v2	J. Craig Venter Institute	GCA_000205405.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/405/GCF_000205405.1_ASM20540v2		
GCF_000205425.1	PRJNA224116	SAMN00116874	AFEI00000000.1	na	904321	1282	Staphylococcus epidermidis VCU045	strain=VCU045		latest	Contig	Major	Full	2011/04/20	ASM20542v2	J. Craig Venter Institute	GCA_000205425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/205/425/GCF_000205425.1_ASM20542v2		
GCF_000221665.1	PRJNA224116	SAMN00116832	AFUA00000000.1	na	904330	1282	Staphylococcus epidermidis VCU109	strain=VCU109		latest	Contig	Major	Full	2011/07/26	ASM22166v2	J. Craig Venter Institute	GCA_000221665.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/665/GCF_000221665.1_ASM22166v2		
GCF_000221685.1	PRJNA224116	SAMN00116831	AFTZ00000000.1	na	904328	1282	Staphylococcus epidermidis VCU105	strain=VCU105		latest	Contig	Major	Full	2011/07/26	ASM22168v2	J. Craig Venter Institute	GCA_000221685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/685/GCF_000221685.1_ASM22168v2		
GCF_000221705.1	PRJNA224116	SAMN00116868	AFTY00000000.1	na	904319	1282	Staphylococcus epidermidis VCU037	strain=VCU037		latest	Contig	Major	Full	2011/07/26	ASM22170v2	J. Craig Venter Institute	GCA_000221705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/705/GCF_000221705.1_ASM22170v2		
GCF_000239515.1	PRJNA224116	SAMN00761790	AGUC00000000.1	na	1000590	1282	Staphylococcus epidermidis 14.1.R1.SE	strain=14.1.R1.SE		latest	Contig	Major	Full	2011/12/22	ASM23951v2	J. Craig Venter Institute	GCA_000239515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/515/GCF_000239515.1_ASM23951v2		
GCF_000245635.1	PRJNA224116	SAMN00117454	AHKX00000000.1	na	904320	1282	Staphylococcus epidermidis VCU041	strain=VCU041		latest	Contig	Major	Full	2012/02/01	ASM24563v2	J. Craig Venter Institute	GCA_000245635.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/635/GCF_000245635.1_ASM24563v2		
GCF_000245675.1	PRJNA224116	SAMN00117455	AHKZ00000000.1	na	904324	1282	Staphylococcus epidermidis VCU065	strain=VCU065		latest	Contig	Major	Full	2012/02/01	ASM24567v2	J. Craig Venter Institute	GCA_000245675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/675/GCF_000245675.1_ASM24567v2		
GCF_000245695.1	PRJNA224116	SAMN00117450	AHLU00000000.1	na	904326	1282	Staphylococcus epidermidis VCU081	strain=VCU081		latest	Contig	Major	Full	2012/02/01	ASM24569v2	J. Craig Venter Institute	GCA_000245695.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/695/GCF_000245695.1_ASM24569v2		
GCF_000247025.1	PRJNA224116	SAMN00116890	AHLA00000000.1	na	904335	1282	Staphylococcus epidermidis VCU117	strain=VCU117		latest	Contig	Major	Full	2012/02/07	ASM24702v2	J. Craig Venter Institute	GCA_000247025.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/025/GCF_000247025.1_ASM24702v2		
GCF_000247045.1	PRJNA224116	SAMN00116847	AHLB00000000.1	na	904336	1282	Staphylococcus epidermidis VCU118	strain=VCU118		latest	Contig	Major	Full	2012/02/07	ASM24704v2	J. Craig Venter Institute	GCA_000247045.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/045/GCF_000247045.1_ASM24704v2		
GCF_000247065.1	PRJNA224116	SAMN00117466	AHLC00000000.1	na	904337	1282	Staphylococcus epidermidis VCU120	strain=VCU120		latest	Contig	Major	Full	2012/02/07	ASM24706v2	J. Craig Venter Institute	GCA_000247065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/065/GCF_000247065.1_ASM24706v2		
GCF_000247105.1	PRJNA224116	SAMN00117447	AHLE00000000.1	na	904340	1282	Staphylococcus epidermidis VCU123	strain=VCU123		latest	Contig	Major	Full	2012/02/07	ASM24710v2	J. Craig Venter Institute	GCA_000247105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/105/GCF_000247105.1_ASM24710v2		
GCF_000247125.1	PRJNA224116	SAMN00116836	AHLF00000000.1	na	904341	1282	Staphylococcus epidermidis VCU125	strain=VCU125		latest	Contig	Major	Full	2012/02/07	ASM24712v2	J. Craig Venter Institute	GCA_000247125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/125/GCF_000247125.1_ASM24712v2		
GCF_000247145.1	PRJNA224116	SAMN00116846	AHLG00000000.1	na	904342	1282	Staphylococcus epidermidis VCU126	strain=VCU126		latest	Contig	Major	Full	2012/02/07	ASM24714v2	J. Craig Venter Institute	GCA_000247145.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/145/GCF_000247145.1_ASM24714v2		
GCF_000247165.1	PRJNA224116	SAMN00117463	AHLH00000000.1	na	904343	1282	Staphylococcus epidermidis VCU127	strain=VCU127		latest	Contig	Major	Full	2012/02/07	ASM24716v2	J. Craig Venter Institute	GCA_000247165.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/165/GCF_000247165.1_ASM24716v2		
GCF_000247185.1	PRJNA224116	SAMN00116852	AHLI00000000.1	na	904344	1282	Staphylococcus epidermidis VCU128	strain=VCU128		latest	Contig	Major	Full	2012/02/07	ASM24718v2	J. Craig Venter Institute	GCA_000247185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/185/GCF_000247185.1_ASM24718v2		
GCF_000247205.1	PRJNA224116	SAMN00117464	AHLJ00000000.1	na	904345	1282	Staphylococcus epidermidis VCU129	strain=VCU129		latest	Contig	Major	Full	2012/02/07	ASM24720v2	J. Craig Venter Institute	GCA_000247205.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/205/GCF_000247205.1_ASM24720v2		
GCF_000257945.1	PRJNA224116	SAMN02436581	AJJR00000000.1	na	904789	1282	Staphylococcus epidermidis IS-250	strain=IS-250		latest	Contig	Major	Full	2012/04/05	SaureusIS250v1.0	J. Craig Venter Institute	GCA_000257945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/945/GCF_000257945.1_SaureusIS250v1.0		
GCF_000257965.1	PRJNA224116	SAMN00189683	AJJS00000000.1	na	904791	1282	Staphylococcus epidermidis IS-K	strain=IS-K		latest	Contig	Major	Full	2012/04/05	SaureusISKv1.0	J. Craig Venter Institute	GCA_000257965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/965/GCF_000257965.1_SaureusISKv1.0		
