#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000174735.1	PRJNA224116	SAMN00001902	ACLP00000000.1	na	629742	1290	Staphylococcus hominis SK119	strain=SK119		latest	Contig	Major	Full	2009/04/29	ASM17473v1	J. Craig Venter Institute	GCA_000174735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/735/GCF_000174735.1_ASM17473v1		
GCF_000183685.1	PRJNA224116	SAMN02463757	ACRM00000000.1	na	435837	1290	Staphylococcus hominis subsp. hominis C80	strain=C80		latest	Scaffold	Major	Full	2010/12/06	ASM18368v1	Broad Institute	GCA_000183685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/685/GCF_000183685.1_ASM18368v1		
GCF_000247085.1	PRJNA224116	SAMN00116834	AHLD00000000.1	na	904339	1290	Staphylococcus hominis VCU122	strain=VCU122		latest	Contig	Major	Full	2012/02/07	ASM24708v2	J. Craig Venter Institute	GCA_000247085.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/085/GCF_000247085.1_ASM24708v2		
GCF_000269685.1	PRJNA224116	SAMN02471141	AKGC00000000.1	na	1185421	1290	Staphylococcus hominis subsp. hominis ZBW5	strain=ZBW5		latest	Contig	Major	Full	2012/06/17	Stahom1.0	The First Affiliated Hospital, School of Medicine, Zhejiang University	GCA_000269685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/685/GCF_000269685.1_Stahom1.0		
GCF_001051895.1	PRJNA224116	SAMN03490874	LFKS00000000.1	na	1290	1290	Staphylococcus hominis	strain=As3		latest	Contig	Major	Full	2015/07/10	ASM105189v1	The Pennsylvania State University	GCA_001051895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/895/GCF_001051895.1_ASM105189v1		
GCF_001051905.1	PRJNA224116	SAMN03433700	LFKQ00000000.1	na	1290	1290	Staphylococcus hominis	strain=As1		latest	Contig	Major	Full	2015/07/10	ASM105190v1	The Pennsylvania State University	GCA_001051905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/905/GCF_001051905.1_ASM105190v1		
GCF_001051915.1	PRJNA224116	SAMN03659004	LFKR00000000.1	na	1290	1290	Staphylococcus hominis	strain=As2		latest	Contig	Major	Full	2015/07/10	ASM105191v1	The Pennsylvania State University	GCA_001051915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/915/GCF_001051915.1_ASM105191v1		
GCF_001068715.1	PRJNA224116	SAMN03197072	JWCO00000000.1	na	1290	1290	Staphylococcus hominis	strain=1118_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM106871v1	University of Washington	GCA_001068715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/068/715/GCF_001068715.1_ASM106871v1		
GCF_001068725.1	PRJNA224116	SAMN03197091	JWBV00000000.1	na	1290	1290	Staphylococcus hominis	strain=1137_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM106872v1	University of Washington	GCA_001068725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/068/725/GCF_001068725.1_ASM106872v1		
GCF_001069485.1	PRJNA224116	SAMN03197259	JVVJ00000000.1	na	1290	1290	Staphylococcus hominis	strain=1288_SEPI		latest	Contig	Major	Full	2015/07/10	ASM106948v1	University of Washington	GCA_001069485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/485/GCF_001069485.1_ASM106948v1		
GCF_001070775.1	PRJNA224116	SAMN03197427	JVOX00000000.1	na	1290	1290	Staphylococcus hominis	strain=238_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107077v1	University of Washington	GCA_001070775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/775/GCF_001070775.1_ASM107077v1		
GCF_001070895.1	PRJNA224116	SAMN03197526	JVLC00000000.1	na	1290	1290	Staphylococcus hominis	strain=336_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107089v1	University of Washington	GCA_001070895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/895/GCF_001070895.1_ASM107089v1		
GCF_001071235.1	PRJNA224116	SAMN03197709	JVEB00000000.1	na	1290	1290	Staphylococcus hominis	strain=515_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107123v1	University of Washington	GCA_001071235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/235/GCF_001071235.1_ASM107123v1		
GCF_001071725.1	PRJNA224116	SAMN03197395	JVQD00000000.1	na	1290	1290	Staphylococcus hominis	strain=202_SEPI		latest	Contig	Major	Full	2015/07/10	ASM107172v1	University of Washington	GCA_001071725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/725/GCF_001071725.1_ASM107172v1		
GCF_001072955.1	PRJNA224116	SAMN03197630	JVHC00000000.1	na	1290	1290	Staphylococcus hominis	strain=437_SHAE		latest	Contig	Major	Full	2015/07/10	ASM107295v1	University of Washington	GCA_001072955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/072/955/GCF_001072955.1_ASM107295v1		
GCF_001072965.1	PRJNA224116	SAMN03197631	JVHB00000000.1	na	1290	1290	Staphylococcus hominis	strain=438_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107296v1	University of Washington	GCA_001072965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/072/965/GCF_001072965.1_ASM107296v1		
GCF_001073185.1	PRJNA224116	SAMN03197707	JVED00000000.1	na	1290	1290	Staphylococcus hominis	strain=513_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107318v1	University of Washington	GCA_001073185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/185/GCF_001073185.1_ASM107318v1		
GCF_001073815.1	PRJNA224116	SAMN03197859	JUYH00000000.1	na	1290	1290	Staphylococcus hominis	strain=657_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107381v1	University of Washington	GCA_001073815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/815/GCF_001073815.1_ASM107381v1		
GCF_001073975.1	PRJNA224116	SAMN03197896	JUWW00000000.1	na	1290	1290	Staphylococcus hominis	strain=692_SHAE		latest	Contig	Major	Full	2015/07/10	ASM107397v1	University of Washington	GCA_001073975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/975/GCF_001073975.1_ASM107397v1		
GCF_001074645.1	PRJNA224116	SAMN03198066	JUQI00000000.1	na	1290	1290	Staphylococcus hominis	strain=858_SHAE		latest	Contig	Major	Full	2015/07/10	ASM107464v1	University of Washington	GCA_001074645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/074/645/GCF_001074645.1_ASM107464v1		
GCF_001077055.1	PRJNA224116	SAMN03198006	JUSR00000000.1	na	1290	1290	Staphylococcus hominis	strain=793_SHAE		latest	Scaffold	Major	Full	2015/07/10	ASM107705v1	University of Washington	GCA_001077055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/055/GCF_001077055.1_ASM107705v1		
GCF_001077185.1	PRJNA224116	SAMN03198007	JUSP00000000.1	na	1290	1290	Staphylococcus hominis	strain=794_SEPI		latest	Scaffold	Major	Full	2015/07/10	ASM107718v1	University of Washington	GCA_001077185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/185/GCF_001077185.1_ASM107718v1		
GCF_001297105.1	PRJNA224116	SAMN03895993	LHPB00000000.1	na	1290	1290	Staphylococcus hominis	strain=RIT-PI-k		latest	Contig	Major	Full	2015/09/22	ASM129710v1	Monash University Malaysia	GCA_001297105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/297/105/GCF_001297105.1_ASM129710v1		
GCF_001650655.1	PRJNA224116	SAMN04589099	LVVO00000000.1	na	1290	1290	Staphylococcus hominis	strain=H69		latest	Contig	Major	Full	2016/05/24	ASM165065v1	UC Berkeley	GCA_001650655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/655/GCF_001650655.1_ASM165065v1		
