#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000027165.1	PRJNA224116	SAMEA3138244		na	365659	28037	Streptococcus mitis B6	strain=B6		latest	Complete Genome	Major	Full	2010/02/16	ASM2716v1	Department of Microbiology, University of Kaiserslautern	GCA_000027165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1		
GCF_000146585.1	PRJNA224116	SAMN00116813	AEEN00000000.1	na	864567	28037	Streptococcus mitis ATCC 6249	strain=ATCC 6249		latest	Scaffold	Major	Full	2010/09/01	ASM14658v1	Baylor College of Medicine	GCA_000146585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/585/GCF_000146585.1_ASM14658v1		
GCF_000148505.1	PRJNA224116	SAMN00001433	AEDT00000000.1	na	585202	28037	Streptococcus mitis SK321	strain=SK321		latest	Contig	Major	Full	2010/09/24	ASM14850v1	University of Maryland Institute for Genome Sciences	GCA_000148505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/505/GCF_000148505.1_ASM14850v1		
GCF_000148525.1	PRJNA224116	SAMN00001434	AEDU00000000.1	na	585203	28037	Streptococcus mitis SK564	strain=SK564		latest	Contig	Major	Full	2010/09/24	ASM14852v1	University of Maryland Institute for Genome Sciences	GCA_000148525.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/525/GCF_000148525.1_ASM14852v1		
GCF_000148545.1	PRJNA224116	SAMN00001435	AEDV00000000.1	na	585204	28037	Streptococcus mitis SK597	strain=SK597		latest	Contig	Major	Full	2010/09/24	ASM14854v1	University of Maryland Institute for Genome Sciences	GCA_000148545.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/545/GCF_000148545.1_ASM14854v1		
GCF_000148585.2	PRJNA224116	SAMN02435817		na	246201	28037	Streptococcus mitis NCTC 12261	strain=NCTC 12261		latest	Complete Genome	Major	Full	2019/04/11	ASM14858v3	TIGR	GCA_000148585.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/585/GCF_000148585.2_ASM14858v3		assembly designated as neotype
GCF_000220045.1	PRJNA224116	SAMN00621702	AFQT00000000.1	na	1008452	28037	Streptococcus mitis SK1073	strain=SK1073		latest	Contig	Major	Full	2011/07/06	ASM22004v2	J. Craig Venter Institute	GCA_000220045.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/045/GCF_000220045.1_ASM22004v2		
GCF_000220085.1	PRJNA224116	SAMN00621705	AFQV00000000.1	na	1008453	28037	Streptococcus mitis SK1080	strain=SK1080		latest	Contig	Major	Full	2011/07/06	ASM22008v2	J. Craig Venter Institute	GCA_000220085.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/085/GCF_000220085.1_ASM22008v2		
GCF_000221165.1	PRJNA224116	SAMN02415617	AFUO00000000.1	na	768726	28037	Streptococcus mitis bv. 2 str. F0392	strain=F0392		latest	Contig	Major	Full	2011/07/21	ASM22116v2	J. Craig Venter Institute	GCA_000221165.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/165/GCF_000221165.1_ASM22116v2		
GCF_000222705.1	PRJNA224116	SAMN00621712	AFUB00000000.1	na	1000588	28037	Streptococcus mitis bv. 2 str. SK95	strain=SK95		latest	Contig	Major	Full	2011/08/04	ASM22270v2	J. Craig Venter Institute	GCA_000222705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/705/GCF_000222705.1_ASM22270v2		
GCF_000222785.1	PRJNA224116	SAMN00621701	AFUF00000000.1	na	1035187	28037	Streptococcus mitis SK569	strain=SK569		latest	Contig	Major	Full	2011/08/04	ASM22278v2	J. Craig Venter Institute	GCA_000222785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/785/GCF_000222785.1_ASM22278v2		
GCF_000257805.1	PRJNA224116	SAMN00761793	AICR00000000.1	na	1095735	28037	Streptococcus mitis SK616	strain=SK616		latest	Contig	Major	Full	2012/04/05	ASM25780v1	J. Craig Venter Institute	GCA_000257805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/805/GCF_000257805.1_ASM25780v1		
GCF_000257865.1	PRJNA224116	SAMN00761799	AICU00000000.1	na	1095736	28037	Streptococcus mitis SK575	strain=SK575		latest	Contig	Major	Full	2012/04/05	ASM25786v1	J. Craig Venter Institute	GCA_000257865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/865/GCF_000257865.1_ASM25786v1		
GCF_000257905.1	PRJNA224116	SAMN00761835	AJJL00000000.1	na	1095737	28037	Streptococcus mitis SK579	strain=SK579		latest	Contig	Major	Full	2012/04/05	SmitisSK579v1.0	J. Craig Venter Institute	GCA_000257905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/905/GCF_000257905.1_SmitisSK579v1.0		
GCF_000385815.1	PRJNA224116	SAMN02470837	AQTT00000000.1	na	1239792	28037	Streptococcus mitis 11/5	strain=11/5		latest	Contig	Major	Full	2013/04/30	ASM38581v1	Research Institute of Physical-Chemical Medicine, Moscow, Russia	GCA_000385815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/815/GCF_000385815.1_ASM38581v1		
