#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000092265.1	PRJNA224116	SAMN02603777		representative genome	1236608	480	Moraxella catarrhalis BBH18	strain=BBH18		latest	Complete Genome	Major	Full	2010/05/11	ASM9226v1	Radboud University Nijmegen Medical Centre	GCA_000092265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/265/GCF_000092265.1_ASM9226v1		
GCF_000192905.1	PRJNA224116	SAMN02393785	AERC00000000.1	na	857581	480	Moraxella catarrhalis 7169	strain=7169		latest	Contig	Major	Full	2011/03/22	ASM19290v2	Center for Genomic Sciences	GCA_000192905.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/905/GCF_000192905.1_ASM19290v2		
GCF_000192925.1	PRJNA224116	SAMN02393786	AERE00000000.1	na	857579	480	Moraxella catarrhalis 103P14B1	strain=103P14B1		latest	Contig	Major	Full	2011/03/22	ASM19292v2	Center for Genomic Sciences	GCA_000192925.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/925/GCF_000192925.1_ASM19292v2		
GCF_000192945.1	PRJNA224116	SAMN02393787	AERF00000000.1	na	857578	480	Moraxella catarrhalis 46P47B1	strain=46P47B1		latest	Contig	Major	Full	2011/03/22	ASM19294v2	Center for Genomic Sciences	GCA_000192945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/945/GCF_000192945.1_ASM19294v2		
GCF_000192985.1	PRJNA224116	SAMN02393789	AERH00000000.1	na	857576	480	Moraxella catarrhalis BC1	strain=BC1		latest	Contig	Major	Full	2011/03/22	ASM19298v2	Center for Genomic Sciences	GCA_000192985.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/985/GCF_000192985.1_ASM19298v2		
GCF_000193005.1	PRJNA224116	SAMN02393790	AERI00000000.1	na	857575	480	Moraxella catarrhalis BC7	strain=BC7		latest	Contig	Major	Full	2011/03/22	ASM19300v2	Center for Genomic Sciences	GCA_000193005.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/005/GCF_000193005.1_ASM19300v2		
GCF_000193025.1	PRJNA224116	SAMN02393791	AERJ00000000.1	na	857574	480	Moraxella catarrhalis BC8	strain=BC8		latest	Contig	Major	Full	2011/03/22	ASM19302v2	Center for Genomic Sciences	GCA_000193025.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/025/GCF_000193025.1_ASM19302v2		
GCF_000193045.1	PRJNA224116	SAMN02393792	AERK00000000.1	na	857573	480	Moraxella catarrhalis CO72	strain=CO72		latest	Contig	Major	Full	2011/03/22	ASM19304v2	Center for Genomic Sciences	GCA_000193045.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/045/GCF_000193045.1_ASM19304v2		
GCF_000193065.1	PRJNA224116	SAMN02393793	AEPC00000000.1	na	857572	480	Moraxella catarrhalis 101P30B1	strain=101P30B1		latest	Contig	Major	Full	2011/03/22	ASM19306v2	Center for Genomic Sciences	GCA_000193065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/065/GCF_000193065.1_ASM19306v2		
GCF_000193085.1	PRJNA224116	SAMN02393794	AERL00000000.1	na	857571	480	Moraxella catarrhalis O35E	strain=O35E		latest	Contig	Major	Full	2011/03/22	ASM19308v2	Center for Genomic Sciences	GCA_000193085.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/085/GCF_000193085.1_ASM19308v2		
