#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000148565.1	PRJNA224116	SAMN02435816	AEDW00000000.1	na	655813	1303	Streptococcus oralis ATCC 35037	strain=ATCC 35037		latest	Contig	Major	Full	2010/09/24	ASM14856v1	University of Maryland	GCA_000148565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/565/GCF_000148565.1_ASM14856v1		assembly from type material
GCF_000164095.1	PRJNA224116	SAMN00120580	ADMV00000000.1	na	655813	1303	Streptococcus oralis ATCC 35037	strain=ATCC 35037		latest	Scaffold	Major	Full	2010/03/23	ASM16409v1	Baylor College of Medicine	GCA_000164095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/095/GCF_000164095.1_ASM16409v1		assembly from type material
GCF_000185265.1	PRJNA224116	SAMN00260261	AEPO00000000.1	na	888049	1303	Streptococcus oralis ATCC 49296	strain=ATCC 49296		latest	Scaffold	Major	Full	2011/01/12	ASM18526v1	Baylor College of Medicine	GCA_000185265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/265/GCF_000185265.1_ASM18526v1		
GCF_000253155.1	PRJNA224116	SAMEA2272261		na	927666	1303	Streptococcus oralis Uo5	strain=Uo5		latest	Complete Genome	Major	Full	2011/03/23	ASM25315v1	Nano+Bio Center, University of Kaiserslautern	GCA_000253155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/155/GCF_000253155.1_ASM25315v1		
GCF_000257455.1	PRJNA224116	SAMN00761855	AJKQ00000000.1	na	1095741	1303	Streptococcus oralis SK610	strain=SK610		latest	Contig	Major	Full	2012/04/02	SoralisSK610v1.0	J. Craig Venter Institute	GCA_000257455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/455/GCF_000257455.1_SoralisSK610v1.0		
GCF_000257475.1	PRJNA224116	SAMN00761854	AJKP00000000.1	na	1095740	1303	Streptococcus oralis SK100	strain=SK100		latest	Contig	Major	Full	2012/04/02	SoralisSK100v1.0	J. Craig Venter Institute	GCA_000257475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/475/GCF_000257475.1_SoralisSK100v1.0		
GCF_000257495.1	PRJNA224116	SAMN00761853	AJKO00000000.1	na	1095739	1303	Streptococcus oralis SK10	strain=SK10		latest	Contig	Major	Full	2012/04/02	SoralisSK10v1.0	J. Craig Venter Institute	GCA_000257495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/495/GCF_000257495.1_SoralisSK10v1.0		
GCF_000257845.1	PRJNA224116	SAMN00761796	AICT00000000.1	na	1095738	1303	Streptococcus oralis SK1074	strain=SK1074		latest	Contig	Major	Full	2012/04/05	ASM25784v1	J. Craig Venter Institute	GCA_000257845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/845/GCF_000257845.1_ASM25784v1		
GCF_000287715.1	PRJNA224116	SAMN00829137	ALJN00000000.1	na	1161421	1303	Streptococcus oralis SK304	strain=SK304		latest	Contig	Major	Full	2012/08/13	SoralisSK304v1.0	JCVI	GCA_000287715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/287/715/GCF_000287715.1_SoralisSK304v1.0		
GCF_000344255.1	PRJNA224116	SAMN02469809	AORX00000000.1	na	1282665	1303	Streptococcus oralis subsp. tigurinus 1366	strain=1366		latest	Contig	Major	Full	2013/03/05	Streptococcus tigurinus 1366	Geneva University Hospitals	GCA_000344255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/255/GCF_000344255.1_Streptococcus_tigurinus_1366		
